epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1224.75,1.69403,0.97663,0.88705,0.95861,0.9122,0.94304,0.50701,1.60229,0.7651,0.89361,0.005743,0.005743,0.005743
45,1251.6,1.645,0.92383,0.88281,0.94871,0.90029,0.94201,0.49836,1.5876,0.75987,0.89072,0.005644,0.005644,0.005644
46,1278.67,1.64782,0.93675,0.88734,0.9525,0.91463,0.94456,0.50852,1.57342,0.75438,0.88888,0.005545,0.005545,0.005545
47,1305.87,1.64132,0.93581,0.88481,0.93494,0.92902,0.94375,0.50326,1.57861,0.74064,0.88934,0.005446,0.005446,0.005446
48,1332.84,1.63407,0.93372,0.88001,0.95384,0.91703,0.94994,0.50677,1.56614,0.75006,0.88787,0.005347,0.005347,0.005347
49,1360.08,1.63556,0.92425,0.8779,0.94365,0.90678,0.93586,0.4846,1.62169,0.77873,0.89495,0.005248,0.005248,0.005248
50,1386.61,1.60962,0.91691,0.8808,0.93974,0.93235,0.95287,0.51418,1.5426,0.75229,0.88693,0.005149,0.005149,0.005149
51,1413.68,1.63298,0.92238,0.8805,0.96587,0.92546,0.95486,0.50884,1.56818,0.73256,0.88718,0.00505,0.00505,0.00505
52,1440.56,1.61222,0.91016,0.87368,0.94565,0.91922,0.94612,0.50907,1.54581,0.71977,0.88432,0.004951,0.004951,0.004951
53,1466.48,1.61046,0.90567,0.87255,0.94645,0.91794,0.95174,0.52065,1.52185,0.72054,0.88114,0.004852,0.004852,0.004852
54,1493.59,1.60204,0.87641,0.87411,0.95539,0.92623,0.94979,0.50022,1.55448,0.73458,0.88225,0.004753,0.004753,0.004753
55,1520.96,1.57277,0.87719,0.87314,0.9583,0.92844,0.95327,0.51851,1.53622,0.71329,0.88284,0.004654,0.004654,0.004654
56,1547.77,1.594,0.87867,0.87115,0.94958,0.92291,0.94853,0.51015,1.54856,0.73544,0.88532,0.004555,0.004555,0.004555
57,1574.85,1.59221,0.88194,0.87292,0.95454,0.92742,0.9483,0.49082,1.60648,0.75098,0.88886,0.004456,0.004456,0.004456
58,1600.88,1.5776,0.85679,0.86745,0.97226,0.92605,0.95694,0.52473,1.53508,0.70766,0.88,0.004357,0.004357,0.004357
59,1628.06,1.53048,0.83612,0.8657,0.9614,0.92816,0.95673,0.52793,1.53147,0.69068,0.87711,0.004258,0.004258,0.004258
60,1655.45,1.54375,0.84401,0.86493,0.91952,0.93306,0.94695,0.52061,1.52748,0.7103,0.87885,0.004159,0.004159,0.004159
61,1682.72,1.55274,0.85577,0.87563,0.96931,0.93636,0.95609,0.52616,1.51294,0.6978,0.87672,0.00406,0.00406,0.00406
62,1710.03,1.55203,0.86755,0.86732,0.95839,0.91828,0.9498,0.52572,1.50609,0.71206,0.87664,0.003961,0.003961,0.003961
63,1737.23,1.53642,0.84281,0.86304,0.97191,0.92563,0.95574,0.53074,1.48783,0.68714,0.87525,0.003862,0.003862,0.003862
64,1764.55,1.52178,0.84501,0.86056,0.97451,0.91767,0.951,0.52071,1.50509,0.69179,0.87774,0.003763,0.003763,0.003763
65,1791.61,1.55006,0.85353,0.86313,0.97354,0.93944,0.95918,0.52295,1.49753,0.68656,0.87976,0.003664,0.003664,0.003664
