epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1196.72,1.60437,0.90773,0.88126,0.93024,0.90021,0.94151,0.49005,1.53253,0.72974,0.88329,0.0005941,0.0005941,0.0005941
43,1225.01,1.60915,0.92021,0.87293,0.94187,0.904,0.94476,0.50456,1.52808,0.72581,0.88394,0.0005842,0.0005842,0.0005842
44,1252.24,1.58299,0.88632,0.87285,0.94845,0.92662,0.94728,0.52118,1.47783,0.68778,0.88111,0.0005743,0.0005743,0.0005743
45,1280.74,1.62064,0.88262,0.87678,0.96464,0.90345,0.94103,0.5117,1.49947,0.69902,0.88077,0.0005644,0.0005644,0.0005644
46,1308.8,1.56915,0.8723,0.86976,0.92829,0.92871,0.95065,0.52614,1.45085,0.68532,0.87561,0.0005545,0.0005545,0.0005545
47,1336.93,1.55368,0.8719,0.8705,0.92227,0.92841,0.95089,0.52348,1.45916,0.67964,0.87309,0.0005446,0.0005446,0.0005446
48,1365.53,1.56362,0.88274,0.8692,0.94973,0.90682,0.94738,0.47665,1.57567,0.73135,0.88579,0.0005347,0.0005347,0.0005347
49,1392.92,1.53521,0.85626,0.86988,0.93767,0.91697,0.94884,0.50954,1.49323,0.68446,0.87734,0.0005248,0.0005248,0.0005248
50,1419.74,1.55141,0.86185,0.8659,0.96203,0.91053,0.95441,0.51954,1.48864,0.6837,0.88048,0.0005149,0.0005149,0.0005149
51,1448.57,1.55537,0.86678,0.86804,0.96235,0.92441,0.9529,0.52684,1.46255,0.67143,0.87394,0.000505,0.000505,0.000505
52,1475.75,1.53198,0.85678,0.86798,0.95213,0.90058,0.95265,0.51688,1.49083,0.67632,0.87366,0.0004951,0.0004951,0.0004951
53,1503.93,1.51914,0.84323,0.86059,0.95347,0.89037,0.9491,0.4952,1.56592,0.69816,0.88271,0.0004852,0.0004852,0.0004852
54,1531.64,1.52363,0.8357,0.86435,0.94155,0.91404,0.95489,0.53341,1.44265,0.66174,0.8711,0.0004753,0.0004753,0.0004753
55,1559.71,1.55671,0.84428,0.87068,0.93169,0.93667,0.9604,0.53939,1.43751,0.65926,0.87086,0.0004654,0.0004654,0.0004654
56,1588.14,1.52127,0.83209,0.86657,0.9647,0.89589,0.95135,0.53152,1.42877,0.66056,0.8699,0.0004555,0.0004555,0.0004555
57,1615.46,1.48754,0.81259,0.86078,0.94367,0.93441,0.95561,0.5289,1.44658,0.64718,0.87091,0.0004456,0.0004456,0.0004456
58,1643.01,1.50214,0.81625,0.8613,0.9656,0.91137,0.95196,0.52248,1.48589,0.66206,0.87607,0.0004357,0.0004357,0.0004357
59,1671.06,1.47064,0.7918,0.85874,0.9387,0.92449,0.95602,0.49891,1.5549,0.67629,0.88273,0.0004258,0.0004258,0.0004258
60,1698.62,1.48874,0.79916,0.86004,0.95062,0.92104,0.95357,0.529,1.4541,0.64314,0.87151,0.0004159,0.0004159,0.0004159
61,1727.33,1.48668,0.80614,0.86442,0.93493,0.93664,0.95704,0.54232,1.41711,0.64221,0.86601,0.000406,0.000406,0.000406
62,1755.47,1.46328,0.79385,0.85528,0.94319,0.90216,0.95349,0.51256,1.47761,0.66199,0.87343,0.0003961,0.0003961,0.0003961
63,1783.81,1.47039,0.8051,0.85621,0.9632,0.91799,0.95716,0.53801,1.41636,0.63828,0.86951,0.0003862,0.0003862,0.0003862
64,1811.61,1.46335,0.78647,0.85388,0.95386,0.92329,0.95616,0.53147,1.41869,0.64112,0.86665,0.0003763,0.0003763,0.0003763
65,1840.69,1.47454,0.80091,0.85932,0.97351,0.90183,0.95746,0.52698,1.45005,0.64703,0.87113,0.0003664,0.0003664,0.0003664
66,1869.19,1.43508,0.77651,0.85826,0.95484,0.93307,0.96264,0.54424,1.41265,0.62501,0.86642,0.0003565,0.0003565,0.0003565
67,1899.04,1.4495,0.77893,0.85514,0.9484,0.93654,0.9593,0.54759,1.42303,0.63019,0.86664,0.0003466,0.0003466,0.0003466
68,1926.54,1.47528,0.79205,0.85298,0.96123,0.92412,0.9578,0.53623,1.44173,0.63662,0.87102,0.0003367,0.0003367,0.0003367
69,1955.62,1.4479,0.7765,0.8552,0.94226,0.94548,0.96543,0.52845,1.46714,0.6385,0.87375,0.0003268,0.0003268,0.0003268
70,1984.34,1.4375,0.77245,0.84903,0.93624,0.9339,0.95482,0.5396,1.41954,0.62944,0.86743,0.0003169,0.0003169,0.0003169
71,2012.54,1.43933,0.77296,0.85393,0.94414,0.93798,0.96245,0.54139,1.40129,0.61152,0.86484,0.000307,0.000307,0.000307
72,2040.51,1.43779,0.76552,0.84965,0.95371,0.93498,0.95917,0.53514,1.43877,0.62472,0.87032,0.0002971,0.0002971,0.0002971
73,2068.46,1.40435,0.74297,0.84834,0.96048,0.92839,0.96503,0.51909,1.4704,0.62969,0.87412,0.0002872,0.0002872,0.0002872
74,2097.17,1.41314,0.75454,0.84316,0.95193,0.94379,0.96646,0.54306,1.39724,0.60909,0.86712,0.0002773,0.0002773,0.0002773
75,2125.71,1.40758,0.73369,0.84987,0.94662,0.93537,0.96207,0.5372,1.41676,0.61767,0.86817,0.0002674,0.0002674,0.0002674
76,2154.76,1.38009,0.73389,0.84633,0.94978,0.94257,0.95948,0.54721,1.40007,0.60512,0.86589,0.0002575,0.0002575,0.0002575
77,2183.51,1.40292,0.74395,0.84948,0.97816,0.92287,0.96273,0.53877,1.40415,0.61055,0.86661,0.0002476,0.0002476,0.0002476
78,2211.32,1.36422,0.73412,0.84734,0.96334,0.93878,0.96802,0.54639,1.41098,0.60748,0.86611,0.0002377,0.0002377,0.0002377
79,2241.27,1.38051,0.73449,0.83992,0.96729,0.93124,0.96291,0.55509,1.38511,0.60035,0.86604,0.0002278,0.0002278,0.0002278
