epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4485,3.48248,6.38767,1.52599,0.38877,0.04394,0.02073,0.00655,2.43842,3.62462,1.0979,0.00330935,0.00330935,0.0702158
2,55.6089,2.68519,3.84195,1.1091,0.2647,0.22424,0.19384,0.06953,2.50017,2.63628,1.05525,0.00657692,0.00657692,0.0401501
3,81.721,2.55895,3.03864,1.06339,0.42631,0.36636,0.34307,0.14079,2.29171,2.13375,1.04314,0.00977849,0.00977849,0.0100183
4,107.257,2.40575,2.65462,1.03931,0.40869,0.45003,0.41953,0.14249,2.40331,2.01175,1.0284,0.009703,0.009703,0.009703
5,134.401,2.33967,2.32089,1.01843,0.59097,0.5489,0.5704,0.24671,2.03818,1.6354,0.97421,0.009604,0.009604,0.009604
6,160.177,2.23499,2.02295,0.99158,0.61308,0.62619,0.58823,0.22034,2.15369,1.59421,0.98295,0.009505,0.009505,0.009505
7,186.832,2.21294,1.94936,0.99781,0.7233,0.66998,0.72043,0.3303,1.87357,1.33541,0.94734,0.009406,0.009406,0.009406
8,212.801,2.1363,1.78056,0.97097,0.78004,0.73288,0.79038,0.35584,1.86491,1.22411,0.95011,0.009307,0.009307,0.009307
9,238.385,2.11261,1.67213,0.9747,0.79216,0.71799,0.78762,0.3651,1.87219,1.19842,0.94407,0.009208,0.009208,0.009208
10,265.428,2.07153,1.61663,0.96121,0.8212,0.68261,0.77824,0.36424,1.80784,1.15759,0.93608,0.009109,0.009109,0.009109
11,291.526,2.00897,1.52914,0.95193,0.78525,0.69338,0.77725,0.34388,1.84491,1.15618,0.93529,0.00901,0.00901,0.00901
12,317.984,2.02823,1.50604,0.9513,0.86517,0.74025,0.83452,0.38275,1.82668,1.10526,0.93064,0.008911,0.008911,0.008911
13,343.987,1.99171,1.41957,0.94839,0.91914,0.7688,0.8558,0.405,1.80103,1.05504,0.92886,0.008812,0.008812,0.008812
14,370.49,1.9673,1.37524,0.94286,0.86367,0.74404,0.83302,0.38734,1.80898,1.04858,0.92989,0.008713,0.008713,0.008713
