epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.73,3.33679,6.40892,1.44099,0.63608,0.02538,0.0525,0.02154,2.4645,3.65354,1.05563,0.00330935,0.00330935,0.0702158
2,60.44,2.66619,3.85002,1.09222,0.23846,0.27198,0.21061,0.08753,2.35005,2.56312,1.0253,0.00657692,0.00657692,0.0401501
3,88.7335,2.59661,3.17159,1.06359,0.34785,0.39344,0.31079,0.11277,2.4486,2.74529,1.08687,0.00977849,0.00977849,0.0100183
4,116.553,2.49185,2.85329,1.05522,0.36906,0.40719,0.37055,0.13659,2.25482,2.53099,1.02916,0.009703,0.009703,0.009703
5,144.693,2.37403,2.52745,1.03154,0.52787,0.50449,0.48592,0.19509,2.13087,1.98124,1.00858,0.009604,0.009604,0.009604
6,172.744,2.31095,2.23636,1.01355,0.68739,0.5674,0.60667,0.24666,2.09318,1.62048,0.99243,0.009505,0.009505,0.009505
7,200.806,2.26427,2.13826,1.02045,0.67714,0.58082,0.62894,0.24604,2.06244,1.55839,0.98057,0.009406,0.009406,0.009406
8,228.954,2.20523,1.96886,0.99458,0.77457,0.68084,0.75055,0.32848,1.90652,1.37682,0.96206,0.009307,0.009307,0.009307
9,257.062,2.1674,1.85535,0.99266,0.76392,0.6752,0.72348,0.29073,1.9793,1.37963,0.95807,0.009208,0.009208,0.009208
10,285.626,2.15025,1.77521,0.97858,0.73899,0.64014,0.71097,0.32515,1.88601,1.32633,0.94829,0.009109,0.009109,0.009109
11,314.502,2.07077,1.65636,0.97005,0.74119,0.66872,0.75767,0.33183,1.88088,1.40778,0.95038,0.00901,0.00901,0.00901
12,343.677,2.07279,1.64053,0.96523,0.79365,0.74522,0.79319,0.35568,1.85951,1.23425,0.94811,0.008911,0.008911,0.008911
13,372.922,2.06033,1.55113,0.96593,0.858,0.78278,0.84169,0.37265,1.86442,1.15465,0.94749,0.008812,0.008812,0.008812
14,401.941,2.01805,1.49955,0.95687,0.88338,0.77794,0.86028,0.41045,1.78193,1.12642,0.93035,0.008713,0.008713,0.008713
15,430.119,1.98007,1.44799,0.95344,0.85455,0.82148,0.87072,0.41654,1.75562,1.14253,0.93043,0.008614,0.008614,0.008614
16,458.097,1.97412,1.41347,0.95043,0.86896,0.79304,0.85568,0.41981,1.7014,1.03987,0.92147,0.008515,0.008515,0.008515
17,486.589,1.93424,1.33729,0.94037,0.87011,0.79087,0.85213,0.40466,1.75941,1.07125,0.92494,0.008416,0.008416,0.008416
18,515.122,1.92973,1.32535,0.93641,0.91832,0.78277,0.87075,0.42506,1.71133,1.05321,0.91728,0.008317,0.008317,0.008317
19,543.354,1.89202,1.27475,0.93483,0.8732,0.77444,0.84922,0.38922,1.83579,1.07175,0.92469,0.008218,0.008218,0.008218
20,571.546,1.90252,1.29477,0.92134,0.88082,0.80907,0.86725,0.40122,1.7526,1.07624,0.91651,0.008119,0.008119,0.008119
21,599.746,1.91685,1.2692,0.93084,0.90057,0.83388,0.90133,0.44294,1.72466,0.98604,0.91762,0.00802,0.00802,0.00802
22,628.112,1.8752,1.22863,0.92325,0.93429,0.83972,0.90359,0.45434,1.66237,0.91103,0.90655,0.007921,0.007921,0.007921
23,656.238,1.85772,1.1911,0.92973,0.86975,0.81173,0.88479,0.44782,1.66297,1.06173,0.90406,0.007822,0.007822,0.007822
24,684.194,1.85821,1.19062,0.91333,0.91454,0.84578,0.8914,0.43318,1.70832,0.968,0.91056,0.007723,0.007723,0.007723
25,712.536,1.81732,1.18544,0.92139,0.94037,0.83789,0.90006,0.45352,1.70591,0.90759,0.91252,0.007624,0.007624,0.007624
26,740.59,1.84399,1.17034,0.91639,0.91974,0.86299,0.90828,0.41562,1.75394,0.91389,0.91737,0.007525,0.007525,0.007525
27,768.527,1.81177,1.12256,0.91942,0.9323,0.87656,0.91826,0.47613,1.66097,0.85038,0.90167,0.007426,0.007426,0.007426
28,796.463,1.7968,1.1121,0.90923,0.92221,0.84344,0.90309,0.45546,1.62786,0.88605,0.89459,0.007327,0.007327,0.007327
29,825.059,1.8224,1.12409,0.91983,0.93654,0.87006,0.91363,0.45841,1.65674,0.8695,0.90442,0.007228,0.007228,0.007228
30,853.141,1.73803,1.06294,0.90822,0.91747,0.85222,0.91133,0.47189,1.62382,0.87067,0.90095,0.007129,0.007129,0.007129
31,880.805,1.7674,1.08531,0.90508,0.92306,0.8923,0.92817,0.46527,1.62735,0.84863,0.89865,0.00703,0.00703,0.00703
32,908.73,1.75072,1.06113,0.9012,0.93275,0.88448,0.92529,0.46896,1.64136,0.86559,0.90022,0.006931,0.006931,0.006931
33,936.547,1.77486,1.07899,0.89814,0.94015,0.87818,0.93441,0.48326,1.63931,0.85112,0.89784,0.006832,0.006832,0.006832
34,964.692,1.75643,1.06162,0.90031,0.95177,0.87462,0.92324,0.48309,1.62878,0.84098,0.89523,0.006733,0.006733,0.006733
35,992.559,1.73369,1.03622,0.8941,0.94348,0.87647,0.93097,0.4885,1.57782,0.80252,0.89326,0.006634,0.006634,0.006634
36,1020.37,1.71574,1.02834,0.89288,0.93404,0.88877,0.93149,0.46707,1.64799,0.86192,0.89884,0.006535,0.006535,0.006535
37,1048.35,1.71998,1.00495,0.88812,0.94497,0.86724,0.92694,0.48772,1.62306,0.83272,0.89304,0.006436,0.006436,0.006436
38,1076.41,1.69671,0.98143,0.88768,0.9169,0.89436,0.92901,0.47985,1.67441,0.85303,0.90576,0.006337,0.006337,0.006337
39,1104.85,1.73906,1.0091,0.90577,0.92884,0.90991,0.93554,0.50594,1.55785,0.77774,0.88923,0.006238,0.006238,0.006238
40,1132.82,1.66343,0.97551,0.88415,0.94773,0.88878,0.94684,0.51124,1.55133,0.76883,0.88906,0.006139,0.006139,0.006139
41,1160.78,1.68632,0.97863,0.88485,0.94551,0.89571,0.93838,0.49726,1.60431,0.7915,0.89443,0.00604,0.00604,0.00604
42,1188.61,1.687,0.98084,0.88604,0.94919,0.90015,0.93603,0.51098,1.51589,0.769,0.88506,0.005941,0.005941,0.005941
43,1216.33,1.67028,0.95172,0.88811,0.95917,0.89941,0.94421,0.50994,1.55366,0.75531,0.88537,0.005842,0.005842,0.005842
44,1244.37,1.70876,0.98521,0.88876,0.94786,0.91029,0.93867,0.51273,1.54927,0.75555,0.88875,0.005743,0.005743,0.005743
45,1272.24,1.65225,0.93146,0.886,0.95481,0.91621,0.94631,0.51426,1.53587,0.7475,0.88519,0.005644,0.005644,0.005644
46,1300.26,1.63812,0.92959,0.88513,0.96207,0.89413,0.92987,0.50701,1.53354,0.76833,0.88516,0.005545,0.005545,0.005545
