epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1262.63,1.66895,0.96679,0.8921,0.94321,0.89629,0.94296,0.47663,1.58144,0.76129,0.89126,0.0005941,0.0005941,0.0005941
43,1291.26,1.65988,0.97228,0.87985,0.95393,0.90188,0.94235,0.48198,1.60519,0.75086,0.88875,0.0005842,0.0005842,0.0005842
44,1320.51,1.64439,0.92668,0.88386,0.94371,0.88947,0.94252,0.50102,1.53374,0.72858,0.88486,0.0005743,0.0005743,0.0005743
45,1349.17,1.66497,0.94035,0.88274,0.95361,0.90452,0.94725,0.50438,1.50809,0.71671,0.88454,0.0005644,0.0005644,0.0005644
46,1378.16,1.62198,0.9275,0.87814,0.94307,0.90228,0.9446,0.50376,1.50784,0.71488,0.88316,0.0005545,0.0005545,0.0005545
47,1408.2,1.6106,0.921,0.87968,0.94725,0.90402,0.93935,0.48432,1.55149,0.72652,0.88892,0.0005446,0.0005446,0.0005446
48,1437.22,1.63,0.93342,0.88012,0.95763,0.90565,0.94344,0.4924,1.53459,0.73108,0.88123,0.0005347,0.0005347,0.0005347
49,1466.4,1.60821,0.9157,0.88026,0.93826,0.92206,0.94639,0.49463,1.54245,0.7307,0.88317,0.0005248,0.0005248,0.0005248
50,1495.19,1.61474,0.91207,0.87518,0.96151,0.90375,0.94018,0.49987,1.53797,0.72297,0.88484,0.0005149,0.0005149,0.0005149
51,1524.6,1.5983,0.91226,0.87288,0.95171,0.90904,0.93988,0.50559,1.51254,0.71694,0.8812,0.000505,0.000505,0.000505
52,1554.13,1.58279,0.90052,0.87616,0.95993,0.9019,0.94702,0.50274,1.51702,0.70943,0.87935,0.0004951,0.0004951,0.0004951
53,1582.9,1.58995,0.89641,0.87315,0.93362,0.90633,0.93773,0.49366,1.54548,0.73348,0.88263,0.0004852,0.0004852,0.0004852
54,1612.7,1.60481,0.89753,0.87482,0.96346,0.90417,0.94503,0.51184,1.50312,0.69806,0.87872,0.0004753,0.0004753,0.0004753
55,1641.79,1.61185,0.89659,0.87649,0.95353,0.90648,0.94866,0.497,1.54135,0.71563,0.88309,0.0004654,0.0004654,0.0004654
56,1671.5,1.59802,0.89387,0.87593,0.95689,0.91492,0.95313,0.50488,1.50131,0.70059,0.88068,0.0004555,0.0004555,0.0004555
57,1700.17,1.54979,0.8493,0.86987,0.95043,0.91424,0.95167,0.50833,1.48538,0.69209,0.87807,0.0004456,0.0004456,0.0004456
58,1729.9,1.54352,0.85285,0.8683,0.96376,0.91416,0.95645,0.50384,1.50218,0.68783,0.88388,0.0004357,0.0004357,0.0004357
59,1758.23,1.54192,0.84528,0.86954,0.96238,0.92902,0.95347,0.51133,1.52239,0.69667,0.88407,0.0004258,0.0004258,0.0004258
60,1787.43,1.56021,0.85085,0.86829,0.93474,0.90831,0.94213,0.49965,1.53256,0.70272,0.88063,0.0004159,0.0004159,0.0004159
61,1816.52,1.52866,0.84874,0.86894,0.95559,0.93368,0.95447,0.52564,1.47824,0.65914,0.87629,0.000406,0.000406,0.000406
62,1845.52,1.53348,0.83434,0.86418,0.94628,0.92187,0.94736,0.51158,1.46766,0.67792,0.87621,0.0003961,0.0003961,0.0003961
63,1874.5,1.53382,0.8525,0.86567,0.95959,0.91563,0.94329,0.52159,1.45799,0.65838,0.87423,0.0003862,0.0003862,0.0003862
64,1904.39,1.53068,0.837,0.86338,0.94459,0.92637,0.95202,0.52057,1.47308,0.66631,0.87448,0.0003763,0.0003763,0.0003763
65,1932.98,1.53908,0.85191,0.86643,0.92728,0.93859,0.95221,0.51462,1.49445,0.67339,0.87612,0.0003664,0.0003664,0.0003664
66,1963.02,1.49246,0.823,0.86566,0.96318,0.92872,0.95592,0.52522,1.46494,0.65412,0.87122,0.0003565,0.0003565,0.0003565
67,1992.45,1.51169,0.83055,0.86472,0.96352,0.90593,0.95328,0.52243,1.46022,0.66552,0.87194,0.0003466,0.0003466,0.0003466
68,2022.04,1.54665,0.84766,0.86035,0.9521,0.92185,0.95432,0.51486,1.49078,0.66287,0.87575,0.0003367,0.0003367,0.0003367
69,2050.94,1.50237,0.81951,0.86374,0.94914,0.91962,0.9518,0.51286,1.48927,0.66452,0.87802,0.0003268,0.0003268,0.0003268
70,2080.49,1.49765,0.82146,0.85688,0.95885,0.9327,0.95687,0.52582,1.46666,0.66198,0.87668,0.0003169,0.0003169,0.0003169
71,2109.66,1.50347,0.81971,0.86357,0.94995,0.92677,0.95648,0.52825,1.44768,0.65829,0.87373,0.000307,0.000307,0.000307
72,2139.59,1.51676,0.82521,0.86033,0.96373,0.9125,0.954,0.51867,1.50152,0.67131,0.87664,0.0002971,0.0002971,0.0002971
73,2167.7,1.459,0.78992,0.85704,0.95156,0.93508,0.94978,0.52215,1.46847,0.64374,0.87297,0.0002872,0.0002872,0.0002872
74,2197.79,1.47821,0.80201,0.85329,0.95121,0.92942,0.95289,0.53757,1.4367,0.63882,0.87289,0.0002773,0.0002773,0.0002773
75,2226.37,1.47914,0.78554,0.86013,0.96386,0.92298,0.95047,0.52365,1.44769,0.65704,0.87192,0.0002674,0.0002674,0.0002674
76,2256.21,1.44567,0.78516,0.85463,0.94346,0.93482,0.95501,0.53973,1.43654,0.65107,0.87113,0.0002575,0.0002575,0.0002575
77,2285.25,1.45583,0.78388,0.8563,0.9595,0.93047,0.96153,0.53306,1.43386,0.63676,0.86952,0.0002476,0.0002476,0.0002476
78,2314.56,1.43921,0.78326,0.85674,0.96967,0.92728,0.96002,0.53425,1.45667,0.63719,0.87152,0.0002377,0.0002377,0.0002377
79,2343.66,1.44023,0.78209,0.84647,0.95198,0.94324,0.95832,0.53546,1.43141,0.63591,0.86981,0.0002278,0.0002278,0.0002278
80,2373.29,1.4401,0.76401,0.85628,0.95889,0.93581,0.95428,0.53301,1.46175,0.64572,0.87038,0.0002179,0.0002179,0.0002179
81,2401.72,1.41832,0.76278,0.85213,0.95304,0.93163,0.9542,0.53993,1.43599,0.62945,0.86921,0.000208,0.000208,0.000208
82,2431.58,1.42978,0.75199,0.85925,0.95672,0.94384,0.95853,0.53568,1.43588,0.62837,0.86794,0.0001981,0.0001981,0.0001981
83,2459.67,1.43891,0.77386,0.84873,0.95761,0.92495,0.9554,0.53617,1.43077,0.62792,0.86859,0.0001882,0.0001882,0.0001882
84,2489.75,1.41716,0.75455,0.85128,0.9609,0.93023,0.95714,0.53739,1.44841,0.63079,0.87063,0.0001783,0.0001783,0.0001783
85,2518.66,1.40083,0.75301,0.84647,0.95969,0.93083,0.95837,0.53565,1.42149,0.62971,0.86669,0.0001684,0.0001684,0.0001684
86,2547.66,1.39417,0.74926,0.84555,0.95141,0.93553,0.95724,0.53724,1.43259,0.62256,0.86863,0.0001585,0.0001585,0.0001585
87,2576.43,1.3981,0.7424,0.84681,0.96633,0.92585,0.95995,0.53814,1.4176,0.617,0.86531,0.0001486,0.0001486,0.0001486
88,2606.48,1.41524,0.75734,0.83933,0.94889,0.93446,0.9578,0.53626,1.42466,0.62687,0.86629,0.0001387,0.0001387,0.0001387
89,2635.27,1.42,0.76461,0.84571,0.94799,0.93759,0.96191,0.53065,1.43139,0.61929,0.86944,0.0001288,0.0001288,0.0001288
90,2664.4,1.41043,0.75331,0.84604,0.96887,0.92935,0.96051,0.53903,1.40964,0.61571,0.86629,0.0001189,0.0001189,0.0001189
91,2697.45,1.33526,0.70632,0.85986,0.96418,0.92339,0.9526,0.53144,1.42906,0.6265,0.86789,0.000109,0.000109,0.000109
92,2725.7,1.30011,0.65667,0.85752,0.96367,0.91566,0.95473,0.53705,1.42363,0.62371,0.86792,9.91e-05,9.91e-05,9.91e-05
93,2755.27,1.28299,0.64209,0.86339,0.96208,0.91905,0.95454,0.53424,1.46239,0.62968,0.87333,8.92e-05,8.92e-05,8.92e-05
94,2783.72,1.26459,0.63835,0.85679,0.94137,0.92669,0.95516,0.53845,1.44245,0.62433,0.87001,7.93e-05,7.93e-05,7.93e-05
95,2812.34,1.2643,0.63287,0.85456,0.97043,0.9227,0.96068,0.54693,1.41154,0.61599,0.86726,6.94e-05,6.94e-05,6.94e-05
96,2840.51,1.24865,0.62079,0.8504,0.96486,0.91655,0.95716,0.54776,1.41514,0.61644,0.86827,5.95e-05,5.95e-05,5.95e-05
97,2869.15,1.26582,0.63982,0.85102,0.96841,0.91922,0.95698,0.544,1.42839,0.61243,0.87022,4.96e-05,4.96e-05,4.96e-05
98,2897.96,1.25454,0.63513,0.8499,0.96714,0.93252,0.95889,0.541,1.41361,0.619,0.86845,3.97e-05,3.97e-05,3.97e-05
99,2927.32,1.2521,0.66758,0.84986,0.96916,0.92356,0.95852,0.54495,1.40551,0.61233,0.86776,2.98e-05,2.98e-05,2.98e-05
100,2955.07,1.2536,0.63826,0.85317,0.9694,0.92905,0.95919,0.54136,1.41798,0.61255,0.86903,1.99e-05,1.99e-05,1.99e-05
